,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
0,Melody,Sigala,Dance ,2022,04:00,
1,As It Was,Harry Styles,,,04:02,
2,Peaches,Justin Bieber / Daniel Caesar / Giveon,Pop ,2021,04:05,
3,Feels So Close,Calvin Harris,Dance ,2012,04:08,
4,Go,Cat Burns,Singer/Songwriter ,2020,04:12,
5,Ride It,Regard,Dance ,2019,04:18,
6,Butter,BTS,,,04:23,
7,Anyone For You,George Ezra,,,04:25,
8,I'll Be There,Jess Glynne,Pop ,2018,04:28,
9,Heartbreak Anthem,"Galantis, Little Mix",Dance ,2021,04:31,
10,Bang Bang,Jessie J / Nicki Minaj / Ariana Grande,Pop ,2014,04:34,
11,Physical,Dua Lipa,,,04:39,
12,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,04:42,
13,If I Can't Have You,Shawn Mendes,Pop ,2019,04:45,
14,Sorry,Joel Corry,Dance ,2019,04:49,
15,ABC,Gayle,Pop ,2021,04:52,
16,When I'm Gone,Alesso & Katy Perry,Dance ,2021,05:02,
17,she's all i wanna be,Tate Mcrae,Pop ,2022,05:04,
18,Attention,Charlie Puth,Pop ,2017,05:08,
19,Anywhere,Rita Ora,Pop ,2017,05:11,
20,About Time,Lizzo,,,05:15,
21,Don't Wanna Know,Maroon 5,,,05:18,
22,House On Fire,Mimi Webb,Pop ,2022,05:21,
23,Last Time,Becky Hill,Dance ,2021,05:23,
24,Human,Rag 'n' Bone Man,Alternative ,2017,05:27,
25,Watermelon Sugar,Harry Styles,Pop ,2019,05:32,
26,Say You Won't Let Go,James Arthur,Pop ,2016,05:35,
27,One Too Many,"Keith Urban, Pink",Pop ,2020,05:42,
28,Diamonds,Rihanna,Pop ,2012,05:45,
29,Meant To Be,Bebe Rexha & Florida Georgia Line,Pop ,2017,05:48,
30,Sacrifice,The Weeknd,R&B/Soul ,2022,05:50,
31,Shotgun,George Ezra,Singer/Songwriter ,2018,05:53,
32,Good Luck,Mabel & Jax Jones,Dance ,2022,06:06,Garry and Claire
33,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,06:10,Garry and Claire
34,Easy Love,Sigala,Pop ,2015,06:13,Garry and Claire
35,Heat Waves,Glass Animals,Pop ,2020,06:22,Garry and Claire
36,Crazy In Love,Beyonce / Jay-Z,Pop ,2003,06:34,Garry and Claire
37,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,06:46,Garry and Claire
