,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
0,Rain On Me,Lady Gaga / Ariana Grande,Pop ,2020,04:00,
1,Good Luck,Mabel & Jax Jones,Dance ,2022,04:03,
2,Our Song,Anne-Marie / Niall Horan,Pop ,2021,04:06,
3,Love Me Again,John Newman,Pop ,2013,04:08,
4,Beg For You,Charli Xcx / Rina Sawayama,Pop ,2022,04:15,
5,Sweet Lovin,Sigala,Dance ,2015,04:20,
6,Remind Me,Tom Grennan,Alternative ,2022,04:23,
7,So Sick,Jubel,Pop ,2022,04:27,
8,Starving,Hailee Steinfeld / Grey / Zedd,Pop ,2016,04:29,
9,Anyone,Justin Bieber,Pop ,2021,04:32,
10,Cake By The Ocean,Dnce,,,04:36,
11,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,04:39,
12,Higher Love,Kygo / Whitney Houston,Pop ,2019,04:42,
13,Don't Start Now,Dua Lipa,Pop ,2019,04:45,
14,Looking For Me,Paul Woolford / Diplo / Kareen Lomax,Dance ,2020,04:48,
15,The Sound,The 1975,Alternative ,2016,04:51,
16,My Universe,Coldplay / Bts,Pop ,2021,04:57,
17,Take You Dancing,Jason Derulo,Pop ,2020,05:00,
18,24/5,Mimi Webb,Pop ,2021,05:03,
19,Happier,Marshmello / Bastille,Dance ,2018,05:06,
20,Montero (Call Me By Your Name),Lil Nas X,Pop ,2021,05:09,
21,Black Magic,Jonasu,Dance ,2020,05:11,
22,Just The Way You Are (Amazing),Bruno Mars,Singer/Songwriter ,2011,05:14,
23,Halo,Beyonce,Pop ,2008,05:17,
24,Light Switch,Charlie Puth,Pop ,2022,05:26,
25,Crazy What Love Can Do,"David Guetta, Becky Hill & Ella Henderson",Dance ,2022,05:29,
26,Ciao Adios,Anne-Marie,Pop ,2017,05:32,
27,Dancing In The Moonlight,"Jubël, Neimy",Pop ,2018,05:35,
28,Your Song,Rita Ora,Pop ,2017,05:42,
29,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,05:45,
30,Let Me Love You,Ne-Yo,R&B/Soul ,2012,05:51,
31,Positions,Ariana Grande,,,05:54,
32,Twenty Two,Taylor Swift,Country ,2012,05:57,
33,Take My Breath,The Weeknd,R&B/Soul ,2021,06:02,
34,As It Was,Harry Styles,,,06:05,
35,This Is What You Came For,Calvin Harris / Rihanna,Dance ,2016,06:07,
36,Seventeen Going Under,Sam Fender,Singer/Songwriter ,2021,06:11,
37,Power,"Little Mix, Stormzy",Pop ,2017,06:14,
38,Dance Monkey,Tones and I,Alternative ,2019,06:17,
39,Let Them Know,Mabel,Pop ,2021,06:24,
40,Anyone For You,George Ezra,,,06:29,
41,Heart Skips A Beat,"Olly Murs, Rizzle Kicks",Pop ,2011,06:35,
42,Say So,Doja Cat,R&B/Soul ,2019,06:42,
43,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,06:44,
44,Despacito,"Luis Fonsi, Justin Bieber, Daddy Yankee",,,06:47,
45,A Sky Full Of Stars,Coldplay,Alternative ,2014,06:53,
46,Get Out My Head,Shane Codd,Dance ,2020,07:02,Garry Wilson
47,Can't Stop The Feeling,Justin Timberlake,Pop ,2016,07:05,Garry Wilson
48,she's all i wanna be,Tate Mcrae,Pop ,2022,07:08,Garry Wilson
49,Bad Habits,Ed Sheeran,Pop ,2021,07:12,Garry Wilson
50,Havana,Camila Cabello,,,07:15,Garry Wilson
51,Piece Of Your Heart,Meduza / Goodboys,Dance ,2019,07:23,Garry Wilson
52,House On Fire,Mimi Webb,Pop ,2022,07:25,Garry Wilson
53,Feel It Still,"Portugal, The Man",Alternative ,2017,07:27,Garry Wilson
54,Umbrella,Rihanna,R&B/Soul ,2008,07:33,Garry Wilson
55,ABC,Gayle,Pop ,2021,07:41,Garry Wilson
56,Shout Out To My Ex,Little Mix,Pop ,2016,07:47,Garry Wilson
57,When I'm Gone,Alesso & Katy Perry,Dance ,2021,07:50,Garry Wilson
58,Single Ladies (Put A Ring On It),Beyonce,Pop ,2008,07:53,Garry Wilson
59,One Last Time,Ariana Grande,Pop ,2014,08:04,Garry Wilson
60,Good Luck,Mabel & Jax Jones,Dance ,2022,08:07,Garry Wilson
61,Adore You,Harry Styles,Pop ,2019,08:10,Garry Wilson
62,Savage Love (Laxed - Siren Beat),Jawsh 685 / Jason Derulo,Pop ,2020,08:13,Garry Wilson
63,Moves Like Jagger,Maroon 5 / Christina Aguilera,Pop ,2011,08:16,Garry Wilson
64,Remind Me,Tom Grennan,Alternative ,2022,08:25,Garry Wilson
65,One Too Many,"Keith Urban, Pink",Pop ,2020,08:29,Garry Wilson
66,These Days,Rudimental / Jess Glynne / Macklemore / Dan Caplen,Dance ,2018,08:32,Garry Wilson
67,We're Good,Dua Lipa,Pop ,2021,08:36,Garry Wilson
68,Don't Feel Like Crying,Sigrid,Pop ,2019,08:38,Garry Wilson
69,Where Are You Now,Lost Frequencies / Calum Scott,Dance ,2021,08:45,Garry Wilson
70,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,08:47,Garry Wilson
71,Midnight Sky,Miley Cyrus,,,08:50,Garry Wilson
72,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,09:03,Garry Wilson
73,There's Nothing Holdin' Me Back,Shawn Mendes,Pop ,2016,09:06,Garry Wilson
74,Anywhere,Rita Ora,Pop ,2017,09:25,Garry Wilson
75,Wild Ones,"Flo Rida, Sia",Hip-Hop/Rap ,2012,09:28,Garry Wilson
76,About Time,Lizzo,,,09:31,Garry Wilson
77,Light Switch,Charlie Puth,Pop ,2022,09:34,Garry Wilson
78,Body,"Loud Luxury, Brando",,,09:37,Garry Wilson
79,Save Your Tears (Remix),The Weeknd / Ariana Grande,R&B/Soul ,2021,09:44,Garry Wilson
80,24K Magic,Bruno Mars,Pop ,2016,09:47,Garry Wilson
81,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,09:50,Garry Wilson
82,Dilemma,Nelly/ Kelly Rowland,Hip-Hop/Rap ,2002,10:03,
83,Men In Black,Will Smith,Soundtrack ,1997,10:07,
84,Ride On Time,Black Box,Pop ,1990,10:11,
85,If We Ever Meet Again,Timbaland / Katy Perry,Pop ,2009,10:14,
86,Untouched,Veronicas,Pop ,2007,10:17,
87,Just Dance,Lady Gaga,Pop ,2008,10:26,
88,Acceptable In The Eighties,Calvin Harris,Dance ,2007,10:29,
89,Beat Again,JLS,Pop ,2009,10:36,
90,Baby One More Time,Britney Spears,Pop ,2004,10:42,
91,Groovejet (If This Ain't Love),Spiller / Sophie Ellis Bextor,,,10:46,
92,Love Generation,"Bob Sinclar, Gary Pine",Dance ,2008,10:53,
