,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
0,I Don't Care,Ed Sheeran / Justin Bieber,Pop ,2019,04:00,
1,she's all i wanna be,Tate Mcrae,Pop ,2022,04:03,
2,Flowers,Nathan Dawe,Dance ,2019,04:06,
3,Don't Be So Hard On Yourself,Jess Glynne,Pop ,2015,04:09,
4,We're Good,Dua Lipa,Pop ,2021,04:12,
5,Blinding Lights,The Weeknd,R&B/Soul ,2019,04:15,
6,Happy,Pharrell,,,04:18,
7,Seventeen Going Under,Sam Fender,Singer/Songwriter ,2021,04:23,
8,House On Fire,Mimi Webb,Pop ,2022,04:26,
9,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,04:28,
10,3 Nights,Dominic Fike,Alternative ,2018,04:31,
11,Better Off Without You,Becky Hill & Shift K3Y,Dance ,2020,04:34,
12,How We Do (Party),Rita Ora,Pop ,2012,04:37,
13,Thats What I Want,Lil Nas X,Pop ,2021,04:42,
14,Body,"Loud Luxury, Brando",,,04:45,
15,Drivers License,Olivia Rodrigo,Pop ,2021,04:47,
16,24K Magic,Bruno Mars,Pop ,2016,04:51,
17,STUPID LOVE,Lady Gaga,Pop ,2020,04:57,
18,More Than Friends,"James Hype, Kelli-Leigh",Dance ,2017,05:00,
19,Good Luck,Mabel & Jax Jones,Dance ,2022,05:02,
20,Without You (Miley Cyrus Remix),The Kid Laroi & Miley Cyrus,Pop ,2021,05:05,
21,Everybody Dance,Cedric Gervais / Franklin / Nile Rodgers,Dance ,2020,05:11,
22,Raise Your Glass,Pink,Rock ,2010,05:14,
23,Timber,"Pitbull, Kesha",Pop ,2013,05:17,
24,Shut Up And Dance,Walk The Moon,,,05:23,
25,Remind Me,Tom Grennan,Alternative ,2022,05:26,
26,Dancing Feet,Kygo / Dnce,Pop ,2022,05:30,
27,Good As Hell,Lizzo,Pop ,2016,05:33,
28,Holiday,Ksi,Pop ,2021,05:36,
29,Good Without,Mimi Webb,Pop ,2021,05:39,
30,Reggaetón Lento (Remix),Cnco & Little Mix,,,05:42,
31,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,05:45,
32,Wrapped Up,Olly Murs / Travie Mccoy,Pop ,2014,05:48,
33,Stitches,Shawn Mendes,Pop ,2015,05:51,
34,Blank Space,Taylor Swift,Pop ,2014,05:54,
35,Cold Heart (Pnau Remix),Elton John & Dua Lipa,Pop ,2021,06:02,
