,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
72,Meet Me Halfway,Black Eyed Peas,,,10:29,
73,I'll Be There For You,Rembrandts,Rock ,2005,10:33,
74,Oh My Gosh,Basement Jaxx,Electronic ,2005,10:36,
75,Can't Get You Out Of My Head,Kylie Minogue,Rock ,2001,10:43,
76,What Would You Do,City High,Hip-Hop/Rap ,2001,10:46,
77,Fight For This Love,Cheryl,Pop ,2009,10:49,
78,Another Chance,Roger Sanchez,,,10:52,
79,Heartbreak Anthem,"Galantis, Little Mix",Dance ,2021,11:03,Andy Walker
80,House On Fire,Mimi Webb,Pop ,2022,11:06,Andy Walker
81,So Sick,Jubel,Pop ,2022,11:12,Andy Walker
82,Flowers,Nathan Dawe,Dance ,2019,11:15,Andy Walker
83,Cold Heart (Pnau Remix),Elton John & Dua Lipa,Pop ,2021,11:22,Andy Walker
84,Raise Your Glass,Pink,Rock ,2010,11:25,Andy Walker
85,Take My Breath,The Weeknd,R&B/Soul ,2021,11:31,Andy Walker
86,We Got That Cool,"Yves V, Afrojack, Icona Pop",Dance ,2019,11:34,Andy Walker
87,Beg For You,Charli Xcx / Rina Sawayama,Pop ,2022,11:42,Andy Walker
88,Moves Like Jagger,Maroon 5 / Christina Aguilera,Pop ,2011,11:45,Andy Walker
89,she's all i wanna be,Tate Mcrae,Pop ,2022,11:48,Andy Walker
90,More Than Friends,"James Hype, Kelli-Leigh",Dance ,2017,11:52,Andy Walker
91,Remind Me,Tom Grennan,Alternative ,2022,12:02,Andy Walker
92,Good 4 U,Olivia Rodrigo,Pop ,2021,12:06,Andy Walker
93,Stay,The Kid Laroi & Justin Bieber,Pop ,2021,12:08,Andy Walker
94,Want To Want Me,Jason Derulo,Pop ,2015,12:11,Andy Walker
95,Paradise,George Ezra,Singer/Songwriter ,2018,12:14,Andy Walker
96,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,12:26,Andy Walker
97,Dancing Feet,Kygo / Dnce,Pop ,2022,12:28,Andy Walker
98,Cheap Thrills,Sia / Sean Paul,Pop ,2016,12:32,Andy Walker
99,Perfect,One Direction,Pop ,2015,12:36,Andy Walker
100,Promises,Calvin Harris & Sam Smith,,,12:43,Andy Walker
101,Good Luck,Mabel & Jax Jones,Dance ,2022,12:47,Andy Walker
102,Levitating,Dua Lipa,,,12:50,Andy Walker
103,Your Love 9PM,ATB Topic & A7S,Dance ,2021,12:53,Andy Walker
104,Melody,Sigala,Dance ,2022,13:04,Andy Walker
105,Light Switch,Charlie Puth,Pop ,2022,13:06,Andy Walker
106,Let The Sun Shine,Labrinth,Pop ,2010,13:10,Andy Walker
107,Blinding Lights,The Weeknd,R&B/Soul ,2019,13:13,Andy Walker
108,The Sound,The 1975,Alternative ,2016,13:16,Andy Walker
109,Dakota,Stereophonics,Pop ,2005,13:23,Andy Walker
110,Run,Becky Hill & Galantis,Dance ,2022,13:26,Andy Walker
111,Dance With Me Tonight,Olly Murs,Pop ,2011,13:29,Andy Walker
112,Roar,Katy Perry,Pop ,2013,13:32,Andy Walker
113,Bad Habits,Ed Sheeran,Pop ,2021,13:36,Andy Walker
114,Don't Break The Heart,Tom Grennan,Alternative ,2021,13:43,Andy Walker
115,Everybody Dance,Cedric Gervais / Franklin / Nile Rodgers,Dance ,2020,13:47,Andy Walker
116,Back To The Future,Bastille,Alternative ,2022,13:49,Andy Walker
117,Where Are You Now,Lost Frequencies / Calum Scott,Dance ,2021,13:52,Andy Walker
118,Anyone For You,George Ezra,,,14:03,Andy Walker
119,Say So,Doja Cat,R&B/Soul ,2019,14:06,Andy Walker
120,Good Feeling,Flo Rida,Dance ,2011,14:08,Andy Walker
121,Ghost,Justin Bieber,Pop ,2021,14:12,Andy Walker
122,"Thank U, Next",Ariana Grande,,,14:15,Andy Walker
123,Let You Love Me,Rita Ora,Pop ,2018,14:23,Andy Walker
124,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,14:26,Andy Walker
125,Crazy What Love Can Do,"David Guetta, Becky Hill & Ella Henderson",Dance ,2022,14:29,Andy Walker
126,We're Good,Dua Lipa,Pop ,2021,14:32,Andy Walker
127,Born This Way,Lady Gaga,,,14:34,Andy Walker
128,Drivers License,Olivia Rodrigo,Pop ,2021,14:45,Andy Walker
129,As It Was,Harry Styles,,,14:49,Andy Walker
130,Without You (Miley Cyrus Remix),The Kid Laroi & Miley Cyrus,Pop ,2021,14:52,Andy Walker
131,House On Fire,Mimi Webb,Pop ,2022,15:03,Andy Walker
132,Don't Call Me Up,Mabel,Pop ,2019,15:05,Andy Walker
133,Body,"Loud Luxury, Brando",,,15:08,Andy Walker
134,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,15:11,Andy Walker
135,Shivers,Ed Sheeran,Pop ,2021,15:14,Andy Walker
136,ABC,Gayle,Pop ,2021,15:22,Andy Walker
137,Sacrifice,The Weeknd,R&B/Soul ,2022,15:35,Andy Walker
138,Hold On,Justin Bieber,Karaoke ,2013,15:42,Andy Walker
139,she's all i wanna be,Tate Mcrae,Pop ,2022,15:44,Andy Walker
140,California Gurls,"Katy Perry, Snoop Dogg",Pop ,2010,15:48,Andy Walker
141,Senorita,"Shawn Mendes, Camila Cabello",Pop ,2019,15:51,Andy Walker
142,Beg For You,Charli Xcx / Rina Sawayama,Pop ,2022,16:03,Rob Wills
143,Tell Me Something Good,Ewan Mcvicar,,,16:05,Rob Wills
144,Remind Me,Tom Grennan,Alternative ,2022,16:08,Rob Wills
145,One Night,Griff,Pop ,2021,16:12,Rob Wills
146,Problem,"Ariana Grande, Iggy Azalea",Pop ,2014,16:15,Rob Wills
147,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,16:25,Rob Wills
148,New Rules,Dua Lipa,Pop ,2017,16:28,Rob Wills
149,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,16:32,Rob Wills
150,Higher Love,Kygo / Whitney Houston,Pop ,2019,16:35,Rob Wills
151,Good Luck,Mabel & Jax Jones,Dance ,2022,16:50,Rob Wills
152,Butter,BTS,,,16:53,Rob Wills
153,Sweet Lovin,Sigala,Dance ,2015,17:05,Rob Wills
154,Jump Around,House Of Pain,,,17:08,Rob Wills
155,Temperature,Sean Paul,Pop ,2005,17:11,Rob Wills
156,Paradise,Meduza / Dermot Kennedy,Dance ,2020,17:14,Rob Wills
157,Tears,Clean Bandit / Louisa Johnson,Dance ,2016,17:17,Rob Wills
158,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,17:30,Rob Wills
159,Thats What I Want,Lil Nas X,Pop ,2021,17:34,Rob Wills
160,Run,Becky Hill & Galantis,Dance ,2022,17:45,Rob Wills
161,So Sick,Jubel,Pop ,2022,17:48,Rob Wills
162,Let's Go Home Together,Ella Henderson & Tom Grennan,Pop ,2021,17:51,Rob Wills
163,Black Magic,Jonasu,Dance ,2020,18:03,Rob Wills
164,Anyone For You,George Ezra,,,18:05,Rob Wills
165,Breaking Me,"Topic, A7S",Dance ,2019,18:08,Rob Wills
166,Mad Love,Mabel,,,18:11,Rob Wills
167,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,18:14,Rob Wills
168,Good 4 U,Olivia Rodrigo,Pop ,2021,18:22,Rob Wills
169,As It Was,Harry Styles,,,18:25,Rob Wills
170,One Too Many,"Keith Urban, Pink",Pop ,2020,18:28,Rob Wills
171,Secret Love Song,Little Mix / Jason Derulo,Pop ,2015,18:31,Rob Wills
172,Get Out My Head,Shane Codd,Dance ,2020,18:35,Rob Wills
173,Love Again,Dua Lipa,,,18:42,Rob Wills
174,There's Nothing Holdin' Me Back,Shawn Mendes,Pop ,2016,18:46,Rob Wills
175,Ritual,"Tiesto, Jonas Blue & Rita Ora",Dance ,2019,18:49,Rob Wills
176,Hold My Hand,Jess Glynne,Pop ,2015,18:52,Rob Wills
177,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,19:01,Numi
178,Better Days,Neiked / Mae Muller / Polo G,Pop ,2021,19:03,Numi
179,Make Me Feel Good,Belters Only & Jazzy,Dance ,2021,19:06,Numi
180,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,19:09,Numi
181,Dynamite,BTS,,,19:11,Numi
182,House On Fire,Mimi Webb,Pop ,2022,19:15,Numi
183,Remind Me,Tom Grennan,Alternative ,2022,19:21,Numi
184,2Am,Mk / Carla Monroe,Dance ,2020,19:25,Numi
185,Bmw,Bad Boy Chiller Crew / Dopamine,Dance ,2022,19:28,Numi
186,she's all i wanna be,Tate Mcrae,Pop ,2022,19:31,Numi
187,Let Somebody Go,Coldplay / Selena Gomez,Pop ,2021,19:35,Numi
188,Run,Becky Hill & Galantis,Dance ,2022,19:42,Numi
189,Giant,Calvin Harris / Rag N Bone Man,Dance ,2019,19:46,Numi
190,All 4 Nothing (I'm So In Love),Lauv,,,19:50,Numi
191,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,19:52,Numi
192,Baby,Aitch & Ashanti,Hip-Hop/Rap ,2022,20:01,Numi
193,Anyone For You,George Ezra,,,20:03,Numi
194,Heaven Takes You Home,"Swedish House Mafia, Connie Constance",Dance ,2022,20:06,Numi
195,Let Them Know,Mabel,Pop ,2021,20:10,Numi
196,Night Away (Dance),A1 / J1 / Tion Wayne,Hip-Hop/Rap ,2022,20:12,Numi
197,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,20:19,Numi
198,Sweetest Pie,Megan Thee Stallion & Dua Lipa,Pop ,2022,20:22,Numi
199,About Time,Lizzo,,,20:26,Numi
200,Save Your Tears (Remix),The Weeknd / Ariana Grande,R&B/Soul ,2021,20:29,Numi
201,Dancing Feet,Kygo / Dnce,Pop ,2022,20:32,Numi
202,ABC,Gayle,Pop ,2021,20:36,Numi
203,As It Was,Harry Styles,,,20:43,Numi
204,My Universe,Coldplay / Bts,Pop ,2021,20:46,Numi
205,Waterfall,"Disclosure, Raye",Dance ,2022,20:49,Numi
206,Where Are You Now,Lost Frequencies / Calum Scott,Dance ,2021,20:52,Numi
207,Savage Love (Laxed - Siren Beat),Jawsh 685 / Jason Derulo,Pop ,2020,20:54,Numi
208,Seek Bromance,Tim Berg,,,21:02,Numi
209,Levels,Avicii,Dance ,2011,21:05,Numi
210,I Could Be The One,Avicii; Nicky Romero,Dance ,2012,21:08,Numi
211,Wake Me Up,Avicii / Aloe Blacc,Karaoke ,2015,21:11,Numi
212,First Class,Jack Harlow,,,21:15,Numi
213,The Motto,Tiesto / Ava Max,Dance ,2021,21:18,Numi
214,When You're Out,Billen Ted / Mae Muller,Dance ,2021,21:20,Numi
215,Crazy What Love Can Do,"David Guetta, Becky Hill & Ella Henderson",Dance ,2022,21:27,Numi
216,Flowers,Lauren Spencer Smith,Pop ,2022,21:34,Numi
217,Tell Me Something Good,Ewan Mcvicar,,,21:36,Numi
218,One Night,Griff,Pop ,2021,21:39,Numi
219,Freaky Deaky,"Tyga, Doja Cat",Hip-Hop/Rap ,2022,21:45,Numi
220,Seventeen Going Under,Sam Fender,Singer/Songwriter ,2021,21:48,Numi
221,My Pony,R3Hab,Dance ,2022,21:51,Numi
222,Make Me Feel Good,Belters Only & Jazzy,Dance ,2021,21:54,Numi
223,Shape Of You,Ed Sheeran,Pop ,2017,22:02,
224,These Days,Rudimental / Jess Glynne / Macklemore / Dan Caplen,Dance ,2018,22:05,
225,Remind Me,Tom Grennan,Alternative ,2022,22:09,
226,Drivers License,Olivia Rodrigo,Pop ,2021,22:12,
227,Still Sleepless,D.o.d / Carla Monroe,Dance ,2021,22:16,
228,Watermelon Sugar,Harry Styles,Pop ,2019,22:22,
229,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,22:25,
230,Thats What I Want,Lil Nas X,Pop ,2021,22:27,
231,Touch,Little Mix,Pop ,2016,22:30,
232,Nothing Breaks Like A Heart,Mark Ronson / Miley Cyrus,Pop ,2018,22:40,
233,Ghost,Ella Henderson,Pop ,2014,22:43,
234,So Sick,Jubel,Pop ,2022,22:47,
235,Good Luck,Mabel & Jax Jones,Dance ,2022,22:50,
236,Don't Start Now,Dua Lipa,Pop ,2019,22:53,
237,Light Switch,Charlie Puth,Pop ,2022,23:05,
238,Heart Skips A Beat,"Olly Murs, Rizzle Kicks",Pop ,2011,23:08,
239,Piece Of Your Heart,Meduza / Goodboys,Dance ,2019,23:11,
240,Diamonds,Rihanna,Pop ,2012,23:14,
241,The Business,Tiesto,Pop ,2020,23:20,
242,Anywhere Away From Here,Rag N Bone Man / Pink,Pop ,2021,23:23,
243,Go,Cat Burns,Singer/Songwriter ,2020,23:26,
244,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,23:29,
245,Stitches,Shawn Mendes,Pop ,2015,23:33,
246,Run,Becky Hill & Galantis,Dance ,2022,23:43,
247,Anywhere,Rita Ora,Pop ,2017,23:46,
248,Little Bit of Love,Tom Grennan,Alternative ,2021,23:49,
