,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
0,Black Magic,Little Mix,Pop ,2015,04:00,
1,Light Switch,Charlie Puth,Pop ,2022,04:03,
2,Finesse,"Bruno Mars, Cardi B",R&B/Soul ,2018,04:10,
3,Go,Cat Burns,Singer/Songwriter ,2020,04:13,
4,One Kiss,Calvin Harris / Dua Lipa,Dance ,2018,04:16,
5,Troublemaker,"Olly Murs, Flo Rida",Pop ,2012,04:19,
6,Lighter,Nathan Dawe & Ksi,Dance ,2020,04:25,
7,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,04:27,
8,Don't Break The Heart,Tom Grennan,Alternative ,2021,04:31,
9,Ghost,Justin Bieber,Pop ,2021,04:34,
10,Mirrors,Justin Timberlake,Pop ,2013,04:37,
11,ABC,Gayle,Pop ,2021,04:42,
12,Run,Becky Hill & Galantis,Dance ,2022,04:45,
13,These Days,Rudimental / Jess Glynne / Macklemore / Dan Caplen,Dance ,2018,04:48,
14,Get Out My Head,Shane Codd,Dance ,2020,04:52,
15,Hey Brother,Avicii,House ,2013,04:54,
16,Bed,Joel Corry / Raye / David Guetta,Dance ,2021,05:02,
17,Anyone For You,George Ezra,,,05:05,
18,Circles,Post Malone,Hip-Hop/Rap ,2019,05:08,
19,Don't Call Me Up,Mabel,Pop ,2019,05:11,
20,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,05:14,
21,Ritual,"Tiesto, Jonas Blue & Rita Ora",Dance ,2019,05:17,
22,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,05:20,
23,Anywhere Away From Here,Rag N Bone Man / Pink,Pop ,2021,05:23,
24,Moves Like Jagger,Maroon 5 / Christina Aguilera,Pop ,2011,05:26,
25,One Last Time,Ariana Grande,Pop ,2014,05:32,
26,This Girl,Kungs / Cookin' On 3 Burners,,,05:35,
27,As It Was,Harry Styles,,,05:38,
28,Looking For Me,Paul Woolford / Diplo / Kareen Lomax,Dance ,2020,05:41,
29,Midnight Sky,Miley Cyrus,,,05:44,
30,Sweet but Psycho,Ava Max,Pop ,2018,05:48,
31,Senorita,"Shawn Mendes, Camila Cabello",Pop ,2019,05:51,
32,Happy,Pharrell,,,05:54,
33,House On Fire,Mimi Webb,Pop ,2022,06:04,Garry and Claire
34,Bad Habits,Ed Sheeran,Pop ,2021,06:06,Garry and Claire
35,Physical,Dua Lipa,,,06:10,Garry and Claire
36,Firework,Katy Perry,Pop ,2010,06:14,Garry and Claire
37,Breaking Me,"Topic, A7S",Dance ,2019,06:22,Garry and Claire
38,Better Off Without You,Becky Hill & Shift K3Y,Dance ,2020,06:31,Garry and Claire
39,Wild Ones,"Flo Rida, Sia",Hip-Hop/Rap ,2012,06:34,Garry and Claire
40,she's all i wanna be,Tate Mcrae,Pop ,2022,06:43,Garry and Claire
41,We Got Love,Sigala / Ella Henderson,Pop ,2019,06:47,Garry and Claire
42,Remind Me,Tom Grennan,Alternative ,2022,07:04,Garry and Claire
43,Kiss My (Uh Oh),Anne-Marie / Little Mix,Pop ,2021,07:07,Garry and Claire
44,Anyone,Justin Bieber,Pop ,2021,07:21,Garry and Claire
45,24/5,Mimi Webb,Pop ,2021,07:34,Garry and Claire
46,Good Luck,Mabel & Jax Jones,Dance ,2022,07:46,Garry and Claire
47,Light Switch,Charlie Puth,Pop ,2022,08:05,Garry and Claire
48,Blank Space,Taylor Swift,Pop ,2014,08:11,Garry and Claire
49,Rain On Me,Lady Gaga / Ariana Grande,Pop ,2020,08:20,Garry and Claire
50,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,08:31,Garry and Claire
51,Little Bit of Love,Tom Grennan,Alternative ,2021,08:34,Garry and Claire
52,Paradise,Meduza / Dermot Kennedy,Dance ,2020,08:45,Garry and Claire
53,Run,Becky Hill & Galantis,Dance ,2022,08:48,Garry and Claire
54,Bang Bang,Jessie J / Nicki Minaj / Ariana Grande,Pop ,2014,09:05,Garry and Claire
55,Clothes Off!!,Gym Class Heroes,Hip-Hop/Rap ,2006,09:08,Garry and Claire
56,Heroes,Alesso / Tove Lo,,,09:12,Garry and Claire
57,Bed,Joel Corry / Raye / David Guetta,Dance ,2021,09:16,Garry and Claire
58,Anyone For You,George Ezra,,,09:19,Garry and Claire
59,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,09:28,Garry and Claire
60,Single Ladies (Put A Ring On It),Beyonce,Pop ,2008,09:31,Garry and Claire
61,About Time,Lizzo,,,09:34,Garry and Claire
62,When I'm Gone,Alesso & Katy Perry,Dance ,2021,09:45,Garry and Claire
63,As It Was,Harry Styles,,,09:48,Garry and Claire
64,Overpass Graffiti,Ed Sheeran,Pop ,2021,09:51,Garry and Claire
65,In Da Club,50 Cent,,,10:03,
66,Oops I Did It Again ...,Britney Spears,Pop ,2004,10:06,
67,Year Three Thousand,Busted,Rock ,2002,10:09,
68,Rock Dj,Robbie Williams,Pop ,2010,10:13,
69,Two Can Play That Game,Bobby Brown,R&B/Soul ,1995,10:16,
70,Imagine (Asylum Remix),Shola Ama,,,10:19,
71,Sweet Like Chocolate,Shanks And Bigfoot,Dance ,1999,10:26,
