,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
0,Woman Like Me,Little Mix / Nicki Minaj,Pop ,2018,04:00,
1,House On Fire,Mimi Webb,Pop ,2022,04:03,
2,My Heart Goes (La Di Da),Becky Hill / Topic,Dance ,2021,04:05,
3,Places,Martin Solveig  / Ina Wroldsen,Dance ,2016,04:08,
4,Give Me The Reason,James Bay,Alternative ,2022,04:11,
5,Cheerleader (Felix Jaehn Remix),Omi,Pop ,2015,04:15,
6,Ghost,Ella Henderson,Pop ,2014,04:18,
7,Bad Habits,Ed Sheeran,Pop ,2021,04:23,
8,she's all i wanna be,Tate Mcrae,Pop ,2022,04:27,
9,Tell Me Something Good,Ewan Mcvicar,,,04:31,
10,Blank Space,Taylor Swift,Pop ,2014,04:33,
11,Sorry,Justin Bieber,Pop ,2015,04:36,
12,Ritual,"Tiesto, Jonas Blue & Rita Ora",Dance ,2019,04:41,
13,Time To Groove,Majestic / Nonô,Dance ,2022,04:45,
14,Anywhere Away From Here,Rag N Bone Man / Pink,Pop ,2021,04:50,
15,This Girl,Kungs / Cookin' On 3 Burners,,,04:54,
16,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,05:02,
17,New Rules,Dua Lipa,Pop ,2017,05:08,
18,Still Sleepless,D.o.d / Carla Monroe,Dance ,2021,05:11,
19,Don't Forget My Love,Diplo & Miguel,Dance ,2022,05:14,
20,Higher Power,Coldplay,Alternative ,2021,05:17,
21,Good Luck,Mabel & Jax Jones,Dance ,2022,05:21,
22,Piece Of Your Heart,Meduza / Goodboys,Dance ,2019,05:24,
23,Uptown Funk,Mark Ronson / Bruno Mars,Pop ,2015,05:26,
24,Lighter,Nathan Dawe & Ksi,Dance ,2020,05:32,
25,Closer,The Chainsmokers / Halsey,Dance ,2016,05:34,
26,Remind Me,Tom Grennan,Alternative ,2022,05:37,
27,Say So,Doja Cat,R&B/Soul ,2019,05:41,
28,Pompeii,Bastille,Alternative ,2013,05:44,
29,Scream And Shout,"Will.i.am, Britney Spears",Pop ,2014,05:47,
30,Higher Love,Kygo / Whitney Houston,Pop ,2019,05:50,
31,Secret Love Song,Little Mix / Jason Derulo,Pop ,2015,05:53,
32,Stay,The Kid Laroi & Justin Bieber,Pop ,2021,06:07,Garry and Claire
33,Green Green Grass,George Ezra,,,06:11,Garry and Claire
34,I Will Never Let You Down,Rita Ora,Pop ,2014,06:14,Garry and Claire
35,Giant,Calvin Harris / Rag N Bone Man,Dance ,2019,06:23,Garry and Claire
36,High Hopes,Panic! At The Disco,Alternative ,2018,06:35,Garry and Claire
37,ABC,Gayle,Pop ,2021,06:45,Garry and Claire
38,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,06:48,Garry and Claire
39,What Lovers Do,Maroon 5 & Sza,Pop ,2017,07:15,Garry and Claire
40,Black Magic,Jonasu,Dance ,2020,07:24,Garry and Claire
41,Mirrors,Justin Timberlake,Pop ,2013,07:35,Garry and Claire
42,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,07:46,Garry and Claire
43,Don't Start Now,Dua Lipa,Pop ,2019,07:52,Garry and Claire
44,My Universe,Coldplay / Bts,Pop ,2021,08:03,Garry and Claire
45,House On Fire,Mimi Webb,Pop ,2022,08:06,Garry and Claire
46,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,08:11,Garry and Claire
47,Better Off Without You,Becky Hill & Shift K3Y,Dance ,2020,08:19,Garry and Claire
48,Time To Groove,Majestic / Nonô,Dance ,2022,08:46,Garry and Claire
49,Watermelon Sugar,Harry Styles,Pop ,2019,08:51,Garry and Claire
50,Survivor,Destiny's Child,R&B/Soul ,2005,09:04,Garry and Claire
51,Finesse,"Bruno Mars, Cardi B",R&B/Soul ,2018,09:07,Garry and Claire
52,Waiting For Tonight,Jennifer Lopez,Pop ,1999,09:10,Garry and Claire
53,Cold Heart (Pnau Remix),Elton John & Dua Lipa,Pop ,2021,09:14,Garry and Claire
54,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,09:18,Garry and Claire
55,Montero (Call Me By Your Name),Lil Nas X,Pop ,2021,09:26,Garry and Claire
56,Good Luck,Mabel & Jax Jones,Dance ,2022,09:28,Garry and Claire
57,2Step,Ed Sheeran,Pop ,2021,09:32,Garry and Claire
58,Like I Love You,Justin Timberlake,Pop ,2002,10:04,
59,Fantasy,Mariah Carey,Pop ,1995,10:07,
60,Music Sounds Better With You,Stardust,,,10:10,
61,Shackles (Praise You),Mary Mary,,,10:13,
62,Please Don't Leave Me,Pink,Pop ,2008,10:16,
63,I Know You Want Me (Calle Ocho),Pitbull,Dance ,2009,10:23,
64,Sound Of The Underground,Girls Aloud,Pop ,2012,10:26,
65,Break Your Heart,Taio Cruz,Pop/Rock ,2009,10:30,
66,I Kissed A Girl,Katy Perry,Pop ,2008,10:33,
67,The Weekend,Michael Gray,,,10:39,
68,Wannabe,Spice Girls,Pop ,1996,10:42,
69,Love In This Club,Usher / Young Jeezy,R&B/Soul ,2008,10:45,
70,Music,Madonna,Pop ,2009,10:49,
71,He Wasn't Man Enough,Toni Braxton,,,10:52,
72,If You Really Love Me (How Will I Know),David Guetta / John Newman,Dance ,2021,11:03,Andy Walker
73,Break My Heart,Dua Lipa,,,11:06,Andy Walker
74,Green Green Grass,George Ezra,,,11:10,Andy Walker
75,Stay,The Kid Laroi & Justin Bieber,Pop ,2021,11:23,Andy Walker
76,Call Me Maybe,Carly Rae Jepsen,Pop ,2012,11:25,Andy Walker
77,Run,Becky Hill & Galantis,Dance ,2022,11:28,Andy Walker
78,Ritual,"Tiesto, Jonas Blue & Rita Ora",Dance ,2019,11:31,Andy Walker
79,Dancing On My Own (Tiesto Remix),Calum Scott,,,11:35,Andy Walker
80,Don't Call Me Up,Mabel,Pop ,2019,11:42,Andy Walker
81,We Got Love,Sigala / Ella Henderson,Pop ,2019,11:45,Andy Walker
82,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,11:48,Andy Walker
83,Just The Way You Are (Amazing),Bruno Mars,Singer/Songwriter ,2011,11:52,Andy Walker
84,About Time,Lizzo,,,12:03,Andy Walker
85,Little Bit of Love,Tom Grennan,Alternative ,2021,12:06,Andy Walker
86,Breaking Me,"Topic, A7S",Dance ,2019,12:09,Andy Walker
87,Good 4 U,Olivia Rodrigo,Pop ,2021,12:12,Andy Walker
88,Flowers,Nathan Dawe,Dance ,2019,12:15,Andy Walker
89,As It Was,Harry Styles,,,12:21,Andy Walker
90,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,12:27,Andy Walker
91,In Ibiza (Seeb Remix),Mike Posner,,,12:30,Andy Walker
92,Love On Top,Beyonce,Pop ,2011,12:33,Andy Walker
93,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,12:40,Andy Walker
