,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
0,I Wish,Joel Corry / Mabel,Dance ,2021,04:00,
1,Anyone For You,George Ezra,,,04:03,
2,Last Time,Becky Hill,Dance ,2021,04:06,
3,Every Teardrop Is A Waterfall,Coldplay,Alternative ,2011,04:09,
4,About Time,Lizzo,,,04:13,
5,Higher Love,Kygo / Whitney Houston,Pop ,2019,04:16,
6,Just Like Fire,Pink,Pop ,2016,04:19,
7,When I'm Gone,Alesso & Katy Perry,Dance ,2021,04:25,
8,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,04:28,
9,No Tears Left To Cry,Ariana Grande,,,04:31,
10,Want To Want Me,Jason Derulo,Pop ,2015,04:34,
11,When Love Takes Over,David Guetta / Kelly Rowland,Dance ,2009,04:37,
12,Melody,Sigala,Dance ,2022,04:43,
13,As It Was,Harry Styles,,,04:46,
14,Where Are You Now,Lost Frequencies / Calum Scott,Dance ,2021,04:48,
15,Dynamite,BTS,,,04:51,
16,Burn,Ellie Goulding,,,04:54,
17,Break Up Song,Little Mix,Pop ,2020,05:02,
18,House On Fire,Mimi Webb,Pop ,2022,05:05,
19,There's Nothing Holdin' Me Back,Shawn Mendes,Pop ,2016,05:07,
20,Love Again,Dua Lipa,,,05:10,
21,So Sick,Jubel,Pop ,2022,05:14,
22,Twenty Two,Taylor Swift,Country ,2012,05:17,
23,Our Song,Anne-Marie / Niall Horan,Pop ,2021,05:23,
24,Irreplaceable,Beyonce,Pop ,2006,05:25,
25,Shape Of You,Ed Sheeran,Pop ,2017,05:31,
26,Rather Be,Clean Bandit / Jess Glynne,Dance ,2014,05:34,
27,she's all i wanna be,Tate Mcrae,Pop ,2022,05:38,
28,Anyone,Justin Bieber,Pop ,2021,05:41,
29,Lonely Together,"Avicii, Rita Ora",Dance ,2017,05:44,
30,Complicated,Avril Lavigne,Pop ,2002,05:47,
31,Beg For You,Charli Xcx / Rina Sawayama,Pop ,2022,05:50,
32,Someone Like You,Adele,Pop ,2011,05:53,
33,Higher Power,Coldplay,Alternative ,2021,06:03,Garry and Claire
34,Remind Me,Tom Grennan,Alternative ,2022,06:07,Garry and Claire
35,Blinding Lights,The Weeknd,R&B/Soul ,2019,06:21,Garry and Claire
36,Promises,Calvin Harris & Sam Smith,,,06:31,Garry and Claire
37,Don't Wanna Know,Maroon 5,,,06:35,Garry and Claire
38,Butter,BTS,,,06:45,Garry and Claire
39,Good Luck,Mabel & Jax Jones,Dance ,2022,06:48,Garry and Claire
40,Good 4 U,Olivia Rodrigo,Pop ,2021,07:04,Garry and Claire
41,Light Switch,Charlie Puth,Pop ,2022,07:06,Garry and Claire
42,One Night,Griff,Pop ,2021,07:22,Garry and Claire
43,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,07:34,Garry and Claire
44,Run,Becky Hill & Galantis,Dance ,2022,07:43,Garry and Claire
45,Stay,The Kid Laroi & Justin Bieber,Pop ,2021,07:47,Garry and Claire
46,Lonely,Joel Corry,Dance ,2020,07:50,Garry and Claire
47,Time To Groove,Majestic / Nonô,Dance ,2022,08:12,Garry and Claire
48,Heat Waves,Glass Animals,Pop ,2020,08:22,Garry and Claire
49,What About Us,Pink,Pop ,2017,08:45,Garry and Claire
50,Let You Love Me,Rita Ora,Pop ,2018,08:48,Garry and Claire
51,As It Was,Harry Styles,,,08:51,Garry and Claire
52,17,Mk / Carla Monroe,,,09:05,Garry and Claire
53,Psycho,Maisie Peters,Pop ,2021,09:08,Garry and Claire
54,Don't You Worry Child,Swedish House Mafia / John Martin,Dance ,2012,09:11,Garry and Claire
55,Bad Habits,Ed Sheeran,Pop ,2021,09:14,Garry and Claire
56,House On Fire,Mimi Webb,Pop ,2022,09:18,Garry and Claire
57,Seventeen Going Under,Sam Fender,Singer/Songwriter ,2021,09:27,Garry and Claire
58,Crazy What Love Can Do,"David Guetta, Becky Hill & Ella Henderson",Dance ,2022,09:33,Garry and Claire
59,she's all i wanna be,Tate Mcrae,Pop ,2022,09:47,Garry and Claire
60,ABC,Gayle,Pop ,2021,09:50,Garry and Claire
61,One More Time,Daft Punk,Dance ,2001,10:05,
62,Don't Stop The Music,Rihanna,R&B/Soul ,2008,10:08,
63,Return Of The Mack,Mark Morrison,R&B/Soul ,1996,10:12,
64,"Love, Sex, Magic",Ciara & Justin Timberlake,R&B/Soul ,2009,10:15,
65,Flowers,Sweet Female Attitude,Fitness & Workout ,2015,10:19,
66,U Sure Do,Strike,,,10:25,
67,Scandalous,Misteeq,,,10:29,
68,All Rise,Blue,Rock ,2001,10:33,
69,Independent Women,Destiny's Child,R&B/Soul ,2005,10:36,
70,Toca's Miracle,Fragma,,,10:43,
71,Brimful Of Asha,Cornershop,Alternative ,1997,10:46,
72,Take Me To The Clouds Above,Lmc / U2,Dance ,2016,10:49,
73,Womanizer,Britney Spears,Pop ,2008,10:52,
74,Remind Me,Tom Grennan,Alternative ,2022,11:03,Andy Walker
75,My Universe,Coldplay / Bts,Pop ,2021,11:07,Andy Walker
76,Go,Cat Burns,Singer/Songwriter ,2020,11:12,Andy Walker
77,Montero (Call Me By Your Name),Lil Nas X,Pop ,2021,11:16,Andy Walker
78,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,11:22,Andy Walker
79,Sweet but Psycho,Ava Max,Pop ,2018,11:25,Andy Walker
80,Breaking Me,"Topic, A7S",Dance ,2019,11:32,Andy Walker
81,Dark Horse,Katy Perry,Pop ,2013,11:34,Andy Walker
82,Lighter,Nathan Dawe & Ksi,Dance ,2020,11:41,Andy Walker
83,Our Song,Anne-Marie / Niall Horan,Pop ,2021,11:44,Andy Walker
84,Good Luck,Mabel & Jax Jones,Dance ,2022,11:46,Andy Walker
85,Shout Out To My Ex,Little Mix,Pop ,2016,11:50,Andy Walker
86,We Got Love,Sigala / Ella Henderson,Pop ,2019,12:02,Andy Walker
87,Light Switch,Charlie Puth,Pop ,2022,12:05,Andy Walker
88,Piece Of Your Heart,Meduza / Goodboys,Dance ,2019,12:08,Andy Walker
89,Love Again,Dua Lipa,,,12:10,Andy Walker
90,This Girl,Kungs / Cookin' On 3 Burners,,,12:14,Andy Walker
91,Positions,Ariana Grande,,,12:20,Andy Walker
92,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,12:23,Andy Walker
93,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,12:26,Andy Walker
94,Give Me Everything,Pitbull / Ne-Yo / Afrojack / Nayer,Pop ,2011,12:29,Andy Walker
95,Take You Dancing,Jason Derulo,Pop ,2020,12:39,Andy Walker
96,Run,Becky Hill & Galantis,Dance ,2022,12:42,Andy Walker
97,One Too Many,"Keith Urban, Pink",Pop ,2020,12:46,Andy Walker
98,Peaches,Justin Bieber / Daniel Caesar / Giveon,Pop ,2021,12:49,Andy Walker
99,Rather Be,Clean Bandit / Jess Glynne,Dance ,2014,12:52,Andy Walker
100,When I'm Gone,Alesso & Katy Perry,Dance ,2021,13:04,Andy Walker
101,Anyone For You,George Ezra,,,13:07,Andy Walker
102,Freed From Desire,Gala,Dance ,1997,13:10,Andy Walker
103,By Your Side,Calvin Harris & Tom Grennan,Dance ,2021,13:14,Andy Walker
104,Ciao Adios,Anne-Marie,Pop ,2017,13:17,Andy Walker
105,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,13:27,Andy Walker
106,Shut Up And Dance,Walk The Moon,,,13:30,Andy Walker
107,Love Is Gone,"David Guetta, Chris Willis",Dance ,2010,13:33,Andy Walker
108,Deja Vu,Beyonce / Jay-Z,R&B/Soul ,2006,13:36,Andy Walker
109,As It Was,Harry Styles,,,13:47,Andy Walker
110,Rolling In The Deep,Adele,Pop ,2011,13:49,Andy Walker
111,Stay,The Kid Laroi & Justin Bieber,Pop ,2021,13:53,Andy Walker
112,House On Fire,Mimi Webb,Pop ,2022,14:03,Andy Walker
113,Shape Of You,Ed Sheeran,Pop ,2017,14:05,Andy Walker
114,Good 4 U,Olivia Rodrigo,Pop ,2021,14:08,Andy Walker
115,Mirrors,Justin Timberlake,Pop ,2013,14:11,Andy Walker
116,Give Me Your Love,Sigala / John Newman / Nile Rodgers,Dance ,2016,14:15,Andy Walker
117,Heat Waves,Glass Animals,Pop ,2020,14:23,Andy Walker
118,About Time,Lizzo,,,14:28,Andy Walker
119,Dynamite,BTS,,,14:31,Andy Walker
120,On My Mind,Disciples,Dance ,2017,14:35,Andy Walker
121,One Last Time,Ariana Grande,Pop ,2014,14:41,Andy Walker
122,she's all i wanna be,Tate Mcrae,Pop ,2022,14:48,Andy Walker
123,What Do You Mean?,Justin Bieber,Pop ,2015,14:51,Andy Walker
124,Blinding Lights,The Weeknd,R&B/Soul ,2019,15:03,Andy Walker
125,Remind Me,Tom Grennan,Alternative ,2022,15:06,Andy Walker
126,Havana,Camila Cabello,,,15:09,Andy Walker
127,So Sick,Jubel,Pop ,2022,15:12,Andy Walker
128,Seventeen Going Under,Sam Fender,Singer/Songwriter ,2021,15:15,Andy Walker
129,Where Are You Now,Lost Frequencies / Calum Scott,Dance ,2021,15:22,Andy Walker
130,Umbrella,Rihanna,R&B/Soul ,2008,15:24,Andy Walker
131,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,15:28,Andy Walker
132,24/5,Mimi Webb,Pop ,2021,15:34,Andy Walker
133,Mama,Jonas Blue / William Singe,Dance ,2017,15:37,Andy Walker
134,Thats What I Want,Lil Nas X,Pop ,2021,15:43,Andy Walker
135,Good Luck,Mabel & Jax Jones,Dance ,2022,15:46,Andy Walker
136,Anywhere Away From Here,Rag N Bone Man / Pink,Pop ,2021,15:49,Andy Walker
137,STUPID LOVE,Lady Gaga,Pop ,2020,15:52,Andy Walker
138,Black Magic,Little Mix,Pop ,2015,16:03,Rob Wills
139,Light Switch,Charlie Puth,Pop ,2022,16:07,Rob Wills
140,More Than Friends,"James Hype, Kelli-Leigh",Dance ,2017,16:10,Rob Wills
141,Nothing Breaks Like A Heart,Mark Ronson / Miley Cyrus,Pop ,2018,16:13,Rob Wills
142,Real Love,Clean Bandit / Jess Glynne,Dance ,2014,16:17,Rob Wills
143,Anywhere,Rita Ora,Pop ,2017,16:50,Rob Wills
144,Run,Becky Hill & Galantis,Dance ,2022,16:53,Rob Wills
145,Time To Groove,Majestic / Nonô,Dance ,2022,17:05,Rob Wills
146,Put Your Hands Up For Detroit,Fedde Le Grand,,,17:08,Rob Wills
147,Teardrops,Lovestation,,,17:10,Rob Wills
148,Rhythm Is A Dancer,Snap,Dance ,1992,17:13,Rob Wills
149,Club Can't Handle Me,Flo Rida / David Guetta,Soundtrack ,2010,17:17,Rob Wills
150,My Universe,Coldplay / Bts,Pop ,2021,17:31,Rob Wills
151,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,17:34,Rob Wills
152,Lighter,Nathan Dawe & Ksi,Dance ,2020,17:43,Rob Wills
153,As It Was,Harry Styles,,,17:45,Rob Wills
154,Dancing Feet,Kygo / Dnce,Pop ,2022,17:49,Rob Wills
155,Rain On Me,Lady Gaga / Ariana Grande,Pop ,2020,17:52,Rob Wills
156,Bad Habits,Ed Sheeran,Pop ,2021,18:03,Rob Wills
157,House On Fire,Mimi Webb,Pop ,2022,18:07,Rob Wills
158,Say So,Doja Cat,R&B/Soul ,2019,18:09,Rob Wills
159,Montero (Call Me By Your Name),Lil Nas X,Pop ,2021,18:24,Rob Wills
160,she's all i wanna be,Tate Mcrae,Pop ,2022,18:26,Rob Wills
161,Let Me Love You,Ne-Yo,R&B/Soul ,2012,18:32,Rob Wills
162,One Night,Griff,Pop ,2021,18:44,Rob Wills
163,Tell Me Something Good,Ewan Mcvicar,,,18:46,Rob Wills
164,24K Magic,Bruno Mars,Pop ,2016,18:49,Rob Wills
165,Starships,Nicki Minaj,Hip-Hop/Rap ,2012,18:52,Rob Wills
166,Black Magic,Jonasu,Dance ,2020,19:00,Rob Wills
167,Lonely,Joel Corry,Dance ,2020,19:02,Rob Wills
168,Still Sleepless,D.o.d / Carla Monroe,Dance ,2021,19:05,Rob Wills
169,Everybody Dance,Cedric Gervais / Franklin / Nile Rodgers,Dance ,2020,19:08,Rob Wills
170,Come Together,Franky Wah,Dance ,2020,19:11,Rob Wills
171,We'll Be Coming Back,"Calvin Harris, Example",Dance ,2012,19:14,Rob Wills
172,If You Really Love Me (How Will I Know),David Guetta / John Newman,Dance ,2021,19:21,Rob Wills
173,Gecko (Overdrive),Oliver Heldens / Becky Hill,Dance ,2014,19:33,Rob Wills
174,Do It To It,"Acraze, Cherish",Dance ,2021,19:36,Rob Wills
175,Don’T Need Love,220 Kid / Gracey,Dance ,2019,19:42,Rob Wills
176,Melody,Sigala,Dance ,2022,19:45,Rob Wills
177,Won't Look Back,Duke Dumont,Dance ,2014,19:48,Rob Wills
178,The Motto,Tiesto / Ava Max,Dance ,2021,19:51,Rob Wills
179,Pump It Up,Endor,Dance ,2019,19:54,Rob Wills
180,The Party (This Is How We Do It),Joe Stone [ ] Montell Jordan,Dance ,2015,20:02,Rob Wills
181,Make Me Feel Good,Belters Only & Jazzy,Dance ,2021,20:08,Rob Wills
